file,gt,pred,diff,sim_ok,sim_ng,match_ms,total_ms,json
Image__2026-03-20__10-05-09.bmp,OK,OK,0.18181413412094116,0.9210354685783386,0.7392213344573975,459.283600008348,647.7411999949254,Image__2026-03-20__10-05-09.json
Image__2026-03-20__10-05-20.bmp,OK,OK,0.1260828971862793,0.9277000427246094,0.8016171455383301,458.34179999656044,645.8817000093404,Image__2026-03-20__10-05-20.json
Image__2026-03-20__10-05-28.bmp,OK,OK,0.08851712942123413,0.9147765636444092,0.826259434223175,574.5384999900125,770.5459999851882,Image__2026-03-20__10-05-28.json
11.bmp,NG,NG,-0.07883572578430176,0.8104896545410156,0.8893253803253174,445.8922000194434,645.242500002496,11.json
14.bmp,NG,NG,-0.15749943256378174,0.7239090800285339,0.8814085125923157,459.16959998430684,655.4632000043057,14.json
15.bmp,NG,NG,-0.07258224487304688,0.8326991200447083,0.9052813649177551,542.5825999991503,748.2898000162095,15.json
