file,gt,pred,diff,sim_ok,sim_ng,match_ms,total_ms,json
Image__2026-03-20__10-05-09.bmp,OK,OK,0.18181413412094116,0.9210354685783386,0.7392213344573975,461.6258000023663,657.1598000009544,Image__2026-03-20__10-05-09.json
Image__2026-03-20__10-05-20.bmp,OK,OK,0.1260828971862793,0.9277000427246094,0.8016171455383301,599.5457000099123,796.0686000005808,Image__2026-03-20__10-05-20.json
Image__2026-03-20__10-05-28.bmp,OK,OK,0.08851712942123413,0.9147765636444092,0.826259434223175,472.615600010613,665.2525999816135,Image__2026-03-20__10-05-28.json
11.bmp,NG,NG,-0.07883572578430176,0.8104896545410156,0.8893253803253174,432.55490000592545,638.9382999914233,11.json
14.bmp,NG,NG,-0.15749943256378174,0.7239090800285339,0.8814085125923157,429.29780000122264,617.8073000046425,14.json
15.bmp,NG,NG,-0.07258224487304688,0.8326991200447083,0.9052813649177551,568.4938000049442,767.9477999918163,15.json
