file,roi_label,bbox_xywh,mean_intensity,min_intensity,valley_depth,valley_width,profile_std,max_drop,profile_len,error
1.bmp,roi1,"[1098, 1034, 39, 340]",101.81055450439453,39.0,25.691177368164062,6,7.984193801879883,6.7911834716796875,39,
3.bmp,roi1,"[1050, 987, 286, 249]",103.75509643554688,26.0,45.209842681884766,4,5.982065677642822,6.333332061767578,286,
Image__2026-03-20__10-05-09.bmp,roi1,"[1295, 1051, 154, 334]",102.43099975585938,32.0,8.892036437988281,13,2.9420995712280273,5.099998474121094,153,
Image__2026-03-20__10-05-20.bmp,roi1,"[1294, 1065, 205, 315]",101.92793273925781,43.0,10.181495666503906,10,3.0708155632019043,3.4153900146484375,204,
Image__2026-03-20__10-05-28.bmp,roi1,"[1182, 1137, 205, 315]",101.96054077148438,22.0,9.269111633300781,10,2.6356921195983887,3.5435867309570312,204,
