file,roi_label,bbox_xywh,mean_intensity,hsv_h_mean,hsv_h_std,hsv_s_mean,hsv_s_std,hsv_v_mean,hsv_v_std,roi_area,error
11.bmp,roi1,"[1043, 655, 250, 286]",76.07793426513672,17.660621643066406,31.254268646240234,196.76193237304688,27.316402435302734,117.39106750488281,44.4754524230957,13563,
14.bmp,roi1,"[1008, 964, 315, 205]",75.94847869873047,20.412466049194336,35.86501693725586,198.25234985351562,24.792022705078125,116.34465789794922,44.490108489990234,13509,
15.bmp,roi1,"[1126, 977, 205, 315]",76.21422576904297,21.12757682800293,37.29684066772461,197.1386260986328,24.875730514526367,116.85865783691406,44.29415512084961,13584,
Image__2026-03-20__10-05-54.bmp,roi1,"[1407, 1048, 99, 342]",77.17662811279297,21.737655639648438,24.646455764770508,165.31069946289062,39.99317932128906,98.85494232177734,38.72100067138672,13650,
Image__2026-03-20__10-06-12.bmp,roi1,"[978, 605, 154, 334]",76.7848129272461,22.278459548950195,27.23275375366211,165.45838928222656,38.81577682495117,98.48440551757812,38.886444091796875,13528,
