file,roi_label,bbox_xywh,mean_intensity,hsv_h_mean,hsv_h_std,hsv_s_mean,hsv_s_std,hsv_v_mean,hsv_v_std,roi_area,error
1.bmp,roi1,"[1098, 1034, 39, 340]",101.81116485595703,13.462669372558594,6.966665267944336,190.66644287109375,21.78609848022461,151.60377502441406,10.091378211975098,13260,
3.bmp,roi1,"[1050, 987, 286, 249]",103.7557601928711,13.59943675994873,10.22757625579834,188.32028198242188,23.61328125,154.2664031982422,10.092605590820312,13491,
Image__2026-03-20__10-05-09.bmp,roi1,"[1295, 1051, 154, 334]",102.4324722290039,19.18341636657715,2.756241798400879,160.01107788085938,35.708717346191406,128.33700561523438,8.11141300201416,13543,
Image__2026-03-20__10-05-20.bmp,roi1,"[1294, 1065, 205, 315]",101.92888641357422,19.351369857788086,3.300403118133545,162.0254669189453,34.888450622558594,127.88324737548828,7.8620171546936035,13584,
Image__2026-03-20__10-05-28.bmp,roi1,"[1182, 1137, 205, 315]",101.9615707397461,19.14480209350586,4.632204055786133,159.42181396484375,35.988372802734375,127.86911010742188,9.6653413772583,13584,
