file,roi_label,bbox_xywh,mean_intensity,hsv_h_mean,hsv_h_std,hsv_s_mean,hsv_s_std,hsv_v_mean,hsv_v_std,roi_area,error
1.bmp,roi1,"[611, 1307, 57, 343]",81.22393035888672,107.60350036621094,49.6650276184082,26.478544235229492,14.37811279296875,87.44535064697266,10.410999298095703,19551,
18.bmp,roi1,"[578, 1163, 222, 327]",81.7828369140625,109.09349060058594,51.564178466796875,26.967260360717773,13.885857582092285,88.19865417480469,10.363775253295898,19884,
Image__2026-03-20__10-05-28.bmp,roi1,"[622, 1135, 222, 327]",84.34344482421875,98.87290954589844,13.382790565490723,79.08378601074219,20.442852020263672,100.43115234375,14.207257270812988,19884,
