record_time,product_name,recipe_name,serial_no,final_result,camera1_result,camera2_result,duration_ms,is_error,error_code,error_message,lock_required,release_required,release_result,cam1_detail,cam1_image_path,cam1_result,camera_count,camera_results_summary,created_at,item_01_camera,item_01_detail,item_01_enabled,item_01_id,item_01_name,item_01_result,item_01_roi_label,item_02_camera,item_02_detail,item_02_enabled,item_02_id,item_02_name,item_02_result,item_02_roi_label,item_count,item_results_json,item_results_summary,task_id
2026-03-22 22:40:17,150A_OG,line2dup_recipe.json,,NG,NG,,864,True,,line2dup did not find any match,True,True,pending,,C:\Users\goney\Desktop\MatchTemplate2\EmbeddingTest\.qr_session\150A_OG\runtime_capture\20260322_224016_542881_cam1.png,NG,1,cam1:NG,2026-03-22T22:40:17,cam1,,True,roi1,X,NG,roi1,cam1,,True,roi2,W,NG,roi2,2,"[{""item_id"": ""roi1"", ""display_name"": ""X"", ""camera_id"": ""cam1"", ""roi_label"": ""roi1"", ""enabled"": true, ""result"": ""NG"", ""detail"": """"}, {""item_id"": ""roi2"", ""display_name"": ""W"", ""camera_id"": ""cam1"", ""roi_label"": ""roi2"", ""enabled"": true, ""result"": ""NG"", ""detail"": """"}]",X:NG; W:NG,runtime_20260322_224017_420020
2026-03-22 22:42:20,150A_OG,line2dup_recipe.json,,NG,NG,,1003,True,,line2dup did not find any match,True,True,pending,,C:\Users\goney\Desktop\MatchTemplate2\EmbeddingTest\.qr_session\150A_OG\runtime_capture\20260322_224219_360807_cam1.png,NG,1,cam1:NG,2026-03-22T22:42:20,cam1,,True,roi1,X,NG,roi1,cam1,,True,roi2,W,NG,roi2,2,"[{""item_id"": ""roi1"", ""display_name"": ""X"", ""camera_id"": ""cam1"", ""roi_label"": ""roi1"", ""enabled"": true, ""result"": ""NG"", ""detail"": """"}, {""item_id"": ""roi2"", ""display_name"": ""W"", ""camera_id"": ""cam1"", ""roi_label"": ""roi2"", ""enabled"": true, ""result"": ""NG"", ""detail"": """"}]",X:NG; W:NG,runtime_20260322_224220_406795
